pair_id,original_commits,original_branch,Backport Commit,backport_branch
051,7c9307e9706535e82de231a095d94fbf855dcc23,origin/main,56c63c779f84e5e6e6aabafa7c1cdbb4d95ef45f,origin/6.0.x_update-antora-ui-spring
052,4afac17e58a3414ca871dd87a6469816fd1d738d,origin/main,9d13ea290f54fc7d4616418bc9f91db8cf6b664e,origin/6.0.x
052,4afac17e58a3414ca871dd87a6469816fd1d738d,origin/main,9d13ea290f54fc7d4616418bc9f91db8cf6b664e,origin/6.0.x_update-antora-ui-spring
053,8bd8c4f627216b054268f188130614e70a5f9dac,origin/main,c9163b77df52c5e1def643d9628965f4295dfc29,origin/6.0.x
053,8bd8c4f627216b054268f188130614e70a5f9dac,origin/main,c9163b77df52c5e1def643d9628965f4295dfc29,origin/6.0.x_update-antora-ui-spring
057,35fcbae8c67d413cc7df8b96aec2769d0fe6bd94,origin/main,edadc7983505186c4fff4f91d2699b37bed76924,origin/6.0.x
057,35fcbae8c67d413cc7df8b96aec2769d0fe6bd94,origin/main,edadc7983505186c4fff4f91d2699b37bed76924,origin/6.0.x_update-antora-ui-spring
058,35fcbae8c67d413cc7df8b96aec2769d0fe6bd94,origin/main,edadc7983505186c4fff4f91d2699b37bed76924,origin/6.0.x
058,35fcbae8c67d413cc7df8b96aec2769d0fe6bd94,origin/main,edadc7983505186c4fff4f91d2699b37bed76924,origin/6.0.x_update-antora-ui-spring
059,61be452402938090b104ba35501021012610d95d,origin/main,3783d31c09c0c2a7f83961ebb59c4bf03f8fc2cb,origin/6.0.x
059,61be452402938090b104ba35501021012610d95d,origin/main,3783d31c09c0c2a7f83961ebb59c4bf03f8fc2cb,origin/6.0.x_update-antora-ui-spring
062,d50b51e312e7d2ee8a7aeb560b02205b6a20bdba,origin/main,687676ea474579db694f56ebb20a8c84320c1b24,origin/5.3.x
063,d50b51e312e7d2ee8a7aeb560b02205b6a20bdba,origin/main,8e33805d2965fc33f3915e7089d0d9db6442e273,origin/6.0.x
063,d50b51e312e7d2ee8a7aeb560b02205b6a20bdba,origin/main,8e33805d2965fc33f3915e7089d0d9db6442e273,origin/6.0.x_update-antora-ui-spring
064,f146d09607286909eff62e540be3e36630442ed2,origin/main,0fc38117dffac61b0ed276198dc5231bc5be20f4,origin/6.0.x
064,f146d09607286909eff62e540be3e36630442ed2,origin/main,0fc38117dffac61b0ed276198dc5231bc5be20f4,origin/6.0.x_update-antora-ui-spring
066,df6f66110f593b14b22aee3708b61834def72a7a,origin/main,a6ab308cf40b38897edbc4e54e3306829ff14aae,origin/5.3.x
068,e12eb9436da160478ed3ce9590058067e295c1f9,origin/main,ca4674df42d40e13a8751fdb5612c5a367281e1f,origin/5.3.x
071,ea4105165119937d1da59704be053f4023d56a9c,origin/main,ddcae04ad57ffb2e03f28fa56ff258d5e0e02b1b,origin/5.3.x
072,8934eb8464e9efdc560c0d8b1ffb34ddbd18bc0a,origin/main,a4fc7d3c117c40d71046850a56957a229ba48524,origin/5.3.x
073,aefcb9d2d6ee385c14d83852bee50b0307b42ce4,origin/main,7c8fed7f3b173fd3c485ebb10f1e903675b83c4f,origin/5.2.x
074,aefcb9d2d6ee385c14d83852bee50b0307b42ce4,origin/main,7d95a24573ef38be93a9c8e86bb92ede105c0cd4,origin/5.3.x
075,bc1511d6673ef293b03069da27928d34490d96f1,origin/main,cbbb2871b3a4092c623a4a87c4dd24f54aa24225,origin/5.2.x
076,bc1511d6673ef293b03069da27928d34490d96f1,origin/main,86457464d767284a7c588292a39d6accf1f65bfe,origin/5.3.x
077,be17c8d85f2b6b436a612e12ba05e8e1ebc0891b,origin/main,e246b47f4d735962c3f793435670828cfd92259c,origin/5.2.x
078,be17c8d85f2b6b436a612e12ba05e8e1ebc0891b,origin/main,6bfb94a563800313745ddc2c8eca0de6e17f2cb5,origin/5.3.x
079,b5b115e52c02bd3b3ec97e5602ee49375a9b78f6,origin/main,0bad69d5fbab74cd1afded96fbf5ed287ece7f18,origin/5.3.x
080,d126b99c91853ebad7b3f7b1afe4bd4dc6264ab2,origin/main,79c5ef88f54d025088e55c67f06479324a577a00,origin/5.3.x
081,e66c80667fcba87a3037edaf9f1208aaccae0011,origin/main,6f6eb3d9963f4cbe46249efc0dccb99ddd465b3b,origin/5.3.x
082,24b359d51963b2eca4ff748e2d23fdc3b8f676dd,origin/main,a94c50e2946257aeda539c6a1082df13c9ee7970,origin/5.3.x
084,8010de8b63057af06984df5c7550ba99d006e909,origin/main,b9b31afcc905cd9d5e63739ff5920d849f7f20f0,origin/5.2.x
085,5529294ec975f8a309161797670d68c3f0eeab7f,origin/main,4542b531035eaaf7765f4557ab433e6695bfa1a9,origin/5.2.x
086,935c29e3ddba5b19951e54f6685c70ed45d9cbe5,origin/main,52c93b1c4b24d70de233a958e60e7c5822bd274f,origin/5.2.x
087,8010de8b63057af06984df5c7550ba99d006e909,origin/main,26e0343c1638d59a28a7991bfcaed32dbc4996e4,origin/5.3.x
088,5529294ec975f8a309161797670d68c3f0eeab7f,origin/main,4d5e7207f20a140258495ad72923c2259e3c800f,origin/5.3.x
089,935c29e3ddba5b19951e54f6685c70ed45d9cbe5,origin/main,430fc25acad2e85cbdddcd52b64481691f03ebd1,origin/5.3.x
090,202fa5cdb3a3d0cfe6967e85fa167d978244f28a,origin/main,eafe3afe11c9fc440ce3088e7e45ecaeffb57a52,origin/5.3.x
091,2a5eab4b899dcb2000655039b6b754715348d66f,origin/main,f2371f5e7d82679b6adfdfbd8c83d4887c7ef01c,origin/5.3.x
093,f60bec986f9892c6f2f275a133f943a7bc7f490f,origin/main,854b625be218b77ac93c330d6367e4b2fcd85617,origin/5.3.x
097,57fb0722154696474e3b47911a4cbd491451fda8,origin/main,3d6d853bbc99d2321a46385466e0150885b9f4bb,origin/5.3.x
099,89c170b0950fc45f750bad953ca0437ebd5c50fe,origin/main,4e00aece7a6e7f621d82b60b60fc70d2f3172af7,origin/5.3.x
100,8f94c4e9331ba11caa4c3f9488bb213e0b6c9ca5,origin/main,d0828be0cd2d2551f4c8bf95f7becbe6fdaaf6c7,origin/5.3.x
101,fd84b0997a42ec54b5deddc47007c0c14d125397,origin/main,4a4b3327096aaabe3faf3b0ba5c521279a2518f1,origin/5.3.x
108,52af5c2b3831b1c27608563dd5bd29b72ea08dab,origin/main,72285034ba0c03772fd9f14c1f04ccd522969524,origin/5.3.x
110,dc2947c52df18d5e99cad03383f7d6ba13d031fd,origin/main,159a99bbafdd6c01871228113d7042c3f83f360f,origin/5.2.x
111,83ac65915871067c39a4fb255e0d484c785c0c11,origin/main,90cfde985ef08e8372ffefda2156f8091f65efe6,origin/5.2.x
118,947387b4cdb5bee3fcca839693c71108a7279988,origin/main,9f7c8aea9419632aa86e64eb43a9deee71ceaef1,origin/5.2.x
119,4779323d33e8a365d40a87275b3a635018b5d098,origin/main,271a9097ac49c68df35f8ebbd50fe40ba73d290c,origin/5.2.x
120,83c19cd60ee95dd315237c24f1fcfd358e58d53b,origin/main,fe26b7d3fd72b2f60742322820146d70514395a3,origin/5.2.x
123,c2363a6ef9a0c50ebb95181f9e1f1e48d79512f2,origin/main,81d5e66fe79cc40612f6f75198ea43c2363ac1aa,origin/5.1.x
124,c35b21b49f8541cf182f6ec62c11fdb15f010712,origin/main,700fedef3ee8c88a3d15e41e4dd800fff662c090,origin/4.3.x
125,6d5080825cd26ec29957de2626da9f117e32e41b,origin/main,f023df703aab022bc71b3b130ac0c79162a379b8,origin/5.1.x
126,59bef2223518c8be3cac558bd27a531ed7a94eac,origin/main,e1e8c165db8d1866d11ed4e51b5abfb7240024cd,origin/5.1.x
127,a741ae422b75e330dac655718ad91e0067a2caeb,origin/main,9969cb6d83916a8e8a68885f3b32cd89c42b483c,origin/5.1.x
128,ea6d2ea1ce6d42c67d8ca5e34d24bbca625c9ced,origin/main,18d983c686df7b515503536ab4da41cb88556857,origin/5.1.x
130,119dd04ae53433f186bb73a2ed347961dc7b2650,origin/main,5dbd3b0bbfdd66b8f2f478298d7732da32338597,origin/5.1.x
131,7c84695333228fb2960d69aa312e41e4ead3b5aa,origin/main,197dbffe20c85b2feb1ae7eb83babe1cae7c8440,origin/5.1.x
132,decbb9ccf9dd4da87f2f3aeca9b05ce24824beb9,origin/main,a21df0cc6d0384e8bb433e2a8f207178f56c7596,origin/5.1.x
133,4beb25b318486baef65fbc3c1118b43aab9f3dc5,origin/main,feeeab1761d211da36a80972ada0ffb63b524278,origin/5.1.x
135,b343e733df333d6ead6d83f31175e846fc9028ff,origin/main,7f8966774e2096b9ddd55ee931643b48bfc30218,origin/main
136,a089027e7dc3a3f480379da3ef38cf6ebee84abd,origin/main,f328bfc157fd8e50551a1994f4c579cee093d060,origin/4.3.x
137,a089027e7dc3a3f480379da3ef38cf6ebee84abd,origin/main,da0754e884622d1812da66f88255451b7347cabc,origin/5.0.x
138,35010149f8aa9d2edcbc01396251735d44b3e112,origin/main,24e277d791c39597d131dabc784ff1d4f75e9f93,origin/5.0.x
139,35010149f8aa9d2edcbc01396251735d44b3e112,origin/main,04223058f1dcc3fc523319444643bc80b71a68b8,origin/4.3.x
140,d4714847a0956f79fc33aba466adf4f23ef4f2e8,origin/main,fb33e8451aff8befb2b2f7f1d67590d4da37232e,origin/5.0.x
